,time,open,high,low,close,volume
1440,2023-11-29 00:00:00,37531.13,37558.96,37554.38,37531.13,26.572195999999995
1441,2023-11-29 00:01:00,37555.09,37592.0,37580.21,37549.3,31.264757100000008
1442,2023-11-29 00:02:00,37580.05,37595.6,37579.3,37566.08,45.876842180000025
1443,2023-11-29 00:03:00,37579.98,37627.0,37615.1,37563.46,50.076269220000015
1444,2023-11-29 00:04:00,37613.36,37621.41,37607.19,37588.0,44.4941474899999
1445,2023-11-29 00:05:00,37607.28,37650.2,37618.14,37599.9,104.6102301200001
1446,2023-11-29 00:06:00,37618.14,37627.75,37620.95,37609.17,33.919739429999986
1447,2023-11-29 00:07:00,37620.95,37647.04,37646.5,37594.0,28.186843810000013
1448,2023-11-29 00:08:00,37637.0,37644.6,37617.0,37616.0,42.75790254
1449,2023-11-29 00:09:00,37617.0,37684.52,37642.9,37617.0,162.70807409999992
1450,2023-11-29 00:10:00,37640.0,37670.23,37600.0,37590.0,58.21888811000003
1451,2023-11-29 00:11:00,37600.0,37617.1,37592.32,37568.48,18.198018920000003
1452,2023-11-29 00:12:00,37586.66,37599.47,37568.97,37550.75,39.48517398000001
1453,2023-11-29 00:13:00,37568.27,37592.35,37583.51,37551.81,63.667090940000044
1454,2023-11-29 00:14:00,37583.5,37604.1,37595.4,37567.0,51.44515819
1455,2023-11-29 00:15:00,37596.98,37617.12,37614.22,37567.1,15.81183193
1456,2023-11-29 00:16:00,37599.0,37657.91,37655.78,37598.9,60.14689240000001
1457,2023-11-29 00:17:00,37655.78,37665.68,37636.47,37625.0,80.97809543000005
1458,2023-11-29 00:18:00,37656.7,37688.21,37640.0,37631.0,125.53595712000062
1459,2023-11-29 00:19:00,37678.83,37692.53,37640.0,37639.0,86.39962758999978
1460,2023-11-29 00:20:00,37640.0,37691.63,37662.53,37624.0,74.57717423999998
1461,2023-11-29 00:21:00,37664.77,37681.39,37651.08,37625.0,31.10548903999999
1462,2023-11-29 00:22:00,37649.04,37674.6,37635.15,37600.0,21.281349710000008
1463,2023-11-29 00:23:00,37634.86,37634.86,37591.14,37565.0,21.119914280000014
1464,2023-11-29 00:24:00,37592.43,37611.73,37587.85,37569.0,18.732761259999986
1465,2023-11-29 00:25:00,37587.56,37618.54,37618.3,37574.0,13.01088961
1466,2023-11-29 00:26:00,37618.3,37630.82,37627.16,37597.0,8.952913739999994
1467,2023-11-29 00:27:00,37627.15,37627.16,37608.52,37592.0,12.090039060000002
1468,2023-11-29 00:28:00,37606.87,37610.1,37589.0,37589.0,37.898018810000025
1469,2023-11-29 00:29:00,37603.58,37622.93,37599.0,37585.0,11.666200029999999
1470,2023-11-29 00:30:00,37623.43,37672.58,37640.0,37601.0,23.676658630000023
1471,2023-11-29 00:31:00,37664.82,37693.82,37671.97,37634.7,66.06093654999997
1472,2023-11-29 00:32:00,37671.96,37700.1,37700.0,37645.0,69.31427134
1473,2023-11-29 00:33:00,37678.71,37700.1,37674.57,37646.0,50.52222622000001
1474,2023-11-29 00:34:00,37674.55,37700.1,37670.81,37646.0,10.778768350000007
1475,2023-11-29 00:35:00,37672.26,37708.3,37700.1,37647.0,21.808699779999987
1476,2023-11-29 00:36:00,37708.76,37724.99,37717.6,37678.0,72.42491317999993
1477,2023-11-29 00:37:00,37703.03,37732.68,37723.59,37692.0,31.47045433999999
1478,2023-11-29 00:38:00,37700.0,37728.6,37716.0,37696.0,18.842570110000015
1479,2023-11-29 00:39:00,37716.0,37728.79,37723.98,37676.0,22.46517042000002
1480,2023-11-29 00:40:00,37700.0,37751.9,37745.2,37700.0,66.13552481000002
1481,2023-11-29 00:41:00,37743.67,37750.1,37741.72,37712.0,35.04255292000003
1482,2023-11-29 00:42:00,37742.63,37756.1,37742.25,37724.0,14.05769981
1483,2023-11-29 00:43:00,37724.0,37883.5,37828.47,37724.0,120.93898627999991
1484,2023-11-29 00:44:00,37836.4,37863.12,37789.91,37770.0,50.15353208999996
1485,2023-11-29 00:45:00,37791.83,37845.67,37822.49,37785.0,33.38989943000002
1486,2023-11-29 00:46:00,37823.3,37865.7,37855.18,37807.0,80.42969976999994
1487,2023-11-29 00:47:00,37854.12,37858.0,37844.19,37807.0,41.06370668
1488,2023-11-29 00:48:00,37842.3,37851.0,37847.24,37801.0,29.13635521999999
1489,2023-11-29 00:49:00,37845.78,37876.36,37872.46,37824.0,37.39165505999992
1490,2023-11-29 00:50:00,37865.8,37901.0,37891.59,37855.0,47.793787559999984
1491,2023-11-29 00:51:00,37891.6,37910.0,37901.21,37856.0,55.10224276999998
1492,2023-11-29 00:52:00,37902.92,37952.33,37922.32,37874.0,75.77923800999994
1493,2023-11-29 00:53:00,37908.0,37946.53,37889.98,37888.0,94.10258266000012
1494,2023-11-29 00:54:00,37894.0,37914.1,37839.98,37836.87,62.97443713999994
1495,2023-11-29 00:55:00,37845.67,37888.32,37884.0,37838.0,65.10620245
1496,2023-11-29 00:56:00,37882.12,37882.12,37839.4,37828.0,54.06588923999998
1497,2023-11-29 00:57:00,37839.43,37856.67,37845.58,37818.0,43.38443484999993
1498,2023-11-29 00:58:00,37846.6,37879.76,37851.8,37837.0,21.150133760000006
1499,2023-11-29 00:59:00,37873.23,37895.72,37889.8,37851.8,25.28769339999999
1500,2023-11-29 01:00:00,37876.0,37921.01,37912.99,37876.0,33.325762019999985
1501,2023-11-29 01:01:00,37914.35,37922.37,37918.72,37893.0,21.597241669999985
1502,2023-11-29 01:02:00,37918.4,37962.02,37936.9,37904.0,37.740193160000025
1503,2023-11-29 01:03:00,37955.33,37967.32,37945.57,37902.94,70.14622625999993
1504,2023-11-29 01:04:00,37924.2,37953.59,37895.0,37894.0,19.956943190000008
1505,2023-11-29 01:05:00,37919.64,37924.3,37844.24,37844.23,25.546483169999995
1506,2023-11-29 01:06:00,37844.24,37872.49,37819.38,37803.0,63.26641651000007
1507,2023-11-29 01:07:00,37805.0,37830.52,37803.7,37792.0,44.649712849999986
1508,2023-11-29 01:08:00,37821.17,37839.34,37838.39,37803.6,24.067887789999993
1509,2023-11-29 01:09:00,37818.0,37873.9,37842.37,37803.7,27.867972179999985
1510,2023-11-29 01:10:00,37842.37,37906.37,37906.11,37819.0,34.28759055000003
1511,2023-11-29 01:11:00,37906.38,37931.18,37927.33,37866.0,57.20081281000004
1512,2023-11-29 01:12:00,37929.32,37973.16,37961.37,37882.0,50.998448370000006
1513,2023-11-29 01:13:00,37959.8,37998.98,37976.99,37922.0,58.19911863000005
1514,2023-11-29 01:14:00,37978.01,37988.95,37963.78,37919.0,53.49879627000001
1515,2023-11-29 01:15:00,37963.78,38052.16,38010.51,37939.0,148.87256719999974
1516,2023-11-29 01:16:00,38015.5,38030.94,38001.59,37944.0,31.025818020000006
1517,2023-11-29 01:17:00,37975.4,38013.02,37992.84,37934.0,43.30836169
1518,2023-11-29 01:18:00,37992.31,38014.96,37977.7,37935.0,40.599155690000025
